event #	radiation dosage #	cap voltage	temperature (thremosistor ohms)	fall time (s)	risetime (s)	distange (mm) [major reticle lines are .5 mm]	pressure (cm Mg)
1	0	496.0	1.92	31.66	68.87	2	76.6
1	0	496.1	1.92	32.21	74.35	2	
1	0	496.1	1.91	32.68	74.47	2	
1	0	496.2	1.91	33.26	77.90	2	
1	1	496.2	1.90	33.70	27.53	2	
1	1	496.2	1.89	33.13	28.36	2	
2	0	496.4	1.88	65.26	4.43	2	
2	0	496.5	1.87	69.26	4.43	2	
2	0	496.5	1.87	65.91	4.61	2	
2	0	496.5	1.87	71.06	3.80	2	
2	1	496.5	1.87	70.85	4.03	2	
2	1	496.5	1.86	68.25	3.95	2	
2	1	496.6	1.85	67.73	3.81	2	
2	2	496.6	1.86	67.35	3.85	2	
2	2	496.6	1.85	71.26	3.90	2	
2	2	496.6	1.85	69.31	4.43	2	
2	2	496.6	1.85	68.00	4.45	2	
3	0	502.5	1.82	43.98	9.25	2	
3	0	502.5	1.83	44.91		2	
4	0	502.6	1.83	41.69	18.41	2	
4	0	502.6	1.83	42.51	18.06	2	
4	0	502.6	1.84	43.13	9.36	2	
4	0	502.6	1.82	43.80	9.20	2	
4	1	502.6	1.83	41.86	9.23	2	
4	1	502.6	1.82	43.54	9.11	2	
4	1	502.7	1.82	42.75	9.38	2	
4	1	502.7	1.82	41.96	9.21	2	
4	2	502.7	1.82	42.48	7.38	2	
4	2	502.7	1.82	50.13	7.60	2	
4	3	502.7	1.81	40.56	5.30	2	
4	3	502.7	1.81	42.73	6.36	2	
4	3	502.8	1.82	42.41	5.25	2	
4	3	502.8	1.82	43.28	5.41	2	
4	3	502.8	1.81	43.96	3.85	2	
4	4	502.8	1.82	41.70	2.88	2	
4	4	502.8	1.81	43.06	3.38	2	
4	4	502.8	1.81	42.16	3.36	2	
4	4	502.8	1.81	41.63	4.75	2	
