event #	radiation dosage #	temperature (thremosistor ohms)	fall time (s)	cap voltage	risetime (s)	distange (mm) [major reticle lines are .5 mm]	pressure (cm Mg)
0	0	1.93	10.51	507.4	22.58	2	76.34
0	0	1.93	10.46	507.5	22.11	2	
0	0	1.93	10.6	507.5	22.75	2	
0	0	1.92	10.55	507.5	22.18	2	
0	0	1.93	10.38	507.5	12.5	2	
0	0	1.92	10.53	507.5	12.23	2	
0	0	1.92	10.36	507.5	12.51	2	
0	0	1.92	10.25	507.5	12.5	2	
0	0	1.92	10.5	507.5	12.66	2	
0	0	1.92	10.41	507.5	12.38	2	
0	1	1.91	10.45	507.6	21.7	2	
0	1	1.91	10.66	507.6	21.56	2	
0	1	1.90	10.38	507.6	20.94	2	
0	1	1.91	10.6	507.6	22.61	2	
0	1	1.91	10.38	507.6	21.81	2	
0	1	1.90	10.61	507.6	22.08	2	
0	1	1.90	10.8	507.6	22.41	2	
1	0	1.88	21.51	507.7	4.65	2	
1	0	1.88	21.56	507.7	4.65	2	
1	0	1.87	22.05	507.7	5.06	2	
1	0	1.87	22.91	507.8	5.06	2	
1	0	1.87	22.73	507.8	5.18	2	
1	0	1.87	22.71	507.8	4.96	2	
1	0	1.87	22.38	507.8	4.95	2	
1	0	1.86	21.46	507.8	4.93	2	
1	0	1.87	21.83	507.8	5.01	2	
1	1	1.87	21.66	507.7	10.61	2	
1	1	1.86	21.64	507.8	10.51	2	
1	1	1.86	22.03	507.8	10.73	2	
1	1	1.86	22.63	507.8	13.00	2	
1	1	1.86	22.2	507.8	10.68	2	
1	1	1.86	21.83	507.8	9.01	2	
1	1	1.86	22.25	507.8	8.75	2	
1	1	1.86	21.65	507.8	10.61	2	
1	1	1.86	21.41	507.8	13.15	2	
1	1	1.86	21.86				
2	0	1.86	28.13	507.7	11.38	2	
2	0	1.85	27.88	507.8	9.03	2	
2	0	1.85	28.85	507.8	9.35	2	
2	0	1.85	28.00	507.8	9.36	2	
2	0	1.85	27.85	507.8	11.41	2	
2	0	1.85	29.11	507.8	11.83	2	
2	0	1.84	28.75	507.8	11.43	2	
2	1	1.85	28.26	507.8	20.76	2	
2	1	1.85	27.95	507.8	21.43	2	
2	1	1.84	28.95	507.8	39.76	2	
2	1	1.84	28.20	507.8	22.11	2	
2	1	1.87	28.56	507.8	21.7	2	
2	1	1.87	26.99	507.8	22.33	2	
2	1	1.84	27.14	507.8	21.81	2	
2	1	1.84	24.46	988.6	8.18	2	
2	1	1.84	26.96	988.6	8.31	2	
2	1	1.83	27.23	988.6	8.18	2	
2	1	1.84	28.1	988.7	12.15	2	
2	1	1.83	27.93	988.7	12.05	2	
2	1	1.83	26.95	988.7	8.05	2	
2	1	1.83	28.28	988.8	8.38	2	
2	1	1.84	27.8	988.8	6.13	2	
2	1	1.84	26.76	988.8	6.08	2	
2	2	1.83	26.85	1519.3	40.51	2	
2	2	1.83	27.38	1519.5	41.15	2	
2	2	1.82	27.24	1519.6	11.43	2	
2	2	1.83	27.26	1519.6	40.73	2	
3	0	1.82	15.06	524.7	6.75	2	
3	0	1.82	15.11	524.7	6.58	2	
3	0	1.82	15.3	524.7	7.50	2	
3	0	1.82	15.63	524.7	8.56	2	
3	0	1.82	15.46	524.7	9.88	2	
3	0	1.82	15.6	524.7	9.95	2	
3	0	1.82	15.45	524.7	9.80	2	
3	0	1.82	15.35	524.7	11.25	2	
3	0	1.82	15.39	524.7	11.53	2	
3	0	1.82	15.9	524.7	11.45	2	
3	0	1.82	15.75	524.7	24.35	2	
3	0	1.82	15.33	524.7	13.83	2	
